						
	Accessible in game	True Pacifist	Not accessible	TODO		
\E0Well^1, in the meantime^1,&why don't you go see&Undyne?/			Flowey	New Home	room_undertale_end	
\E0Well^1, in the meantime^1,&why don't you go see&Papyrus^1, then Undyne?/			Flowey	New Home	room_undertale_end	
\E9It seems like you&could have been&better friends./			Flowey	New Home	room_undertale_end	
Who knows..^1. maybe&she's got the key&to your happiness...?/			Flowey	New Home	room_undertale_end	
\E4See you soon./%%			Flowey	New Home	room_undertale_end	
But^1, despite everything^1,&your happy ending&didn't come./			Flowey	New Home	room_undertale_end	
\E5Why...?/			Flowey	New Home	room_undertale_end	
\E4I know why./			Flowey	New Home	room_undertale_end	
\E4Go to Dr. Alphys./			Flowey	New Home	room_undertale_end	
\E5Your date with her&has really just&begun./%%			Flowey	New Home	room_undertale_end	
So you went the&whole way through&without killing.../			Flowey	New Home	room_undertale_end	
\E5And then you decided&to kill ASGORE?/			Flowey	New Home	room_undertale_end	
\E6What the hell is&WRONG with you?/			Flowey	New Home	room_undertale_end	
\E4You COMPLETELY missed&the point./			Flowey	New Home	room_undertale_end	
\E2Are you trolling me?/			Flowey	New Home	room_undertale_end	
\E0Because./			Flowey	New Home	room_undertale_end	
\E4No./			Flowey	New Home	room_undertale_end	
\E5You are only&trolling yourself./			Flowey	New Home	room_undertale_end	
\E6What a waste of&everybody's time./			Flowey	New Home	room_undertale_end	
\E7All you had to&do was make friends./			Flowey	New Home	room_undertale_end	
With Papyrus^1, Undyne^1,&and then Alphys./			Flowey	New Home	room_undertale_end	
\E2But you were too&busy messing it up!/%%			Flowey	New Home	room_undertale_end	
Hey./			Flowey	New Home	room_undertale_end	
Since you defeated me./			Flowey	New Home	room_undertale_end	
I've been thinking./			Flowey	New Home	room_undertale_end	
\E3Is killing things&really necessary?/			Flowey	New Home	room_undertale_end	
\E1I.../			Flowey	New Home	room_undertale_end	
\E3I honestly don't&know anymore./			Flowey	New Home	room_undertale_end	
\E0I have a request&for you./			Flowey	New Home	room_undertale_end	
\E4Prove to me.../			Flowey	New Home	room_undertale_end	
\E5Prove to me you&are strong enough&to survive./			Flowey	New Home	room_undertale_end	
\E6Get here from&the beginning./			Flowey	New Home	room_undertale_end	
\E0Without killing a&single thing.../			Flowey	New Home	room_undertale_end	
\E4... and I won't&kill the king./			Flowey	New Home	room_undertale_end	
\E4... and^1, maybe.../			Flowey	New Home	room_undertale_end	
"\E7Then you'll have&your so-called&""happy ending.""/"			Flowey	New Home	room_undertale_end	
\E6So^1, what will&it be?/			Flowey	New Home	room_undertale_end	
\E5Will you prove&yourself?/			Flowey	New Home	room_undertale_end	
\E8Or will I get to&watch you suffer...?/			Flowey	New Home	room_undertale_end	
Either way^1, I'm&interested!!!/			Flowey	New Home	room_undertale_end	
\E4Hee hee hee.../%%			Flowey	New Home	room_undertale_end	
Interesting.../			Flowey	New Home	room_undertale_end	
\E6So^1, even with&everything you did.../			Flowey	New Home	room_undertale_end	
\E5The outcome's still&the same./			Flowey	New Home	room_undertale_end	
\E9In the end^1, your&choices were an&illusion./			Flowey	New Home	room_undertale_end	
\E9NOTHING you do&really matters!/			Flowey	New Home	room_undertale_end	
\E8Hee hee hee!/			Flowey	New Home	room_undertale_end	
\E8.../			Flowey	New Home	room_undertale_end	
\E0Well./			Flowey	New Home	room_undertale_end	
\E6You DID do what&I told you./			Flowey	New Home	room_undertale_end	
\E5I guess it's up&to me to get you a&REAL happy ending./			Flowey	New Home	room_undertale_end	
\E0For starters^1, you&can't do it by&yourself./			Flowey	New Home	room_undertale_end	
Papyrus^1, Undyne^1,&Alphys..^1. these guys./			Flowey	New Home	room_undertale_end	
\E4Are you friends with&all of them yet?/			Flowey	New Home	room_undertale_end	
"\E5Maybe you should go&back and..^1. ""hang""&with them./"			Flowey	New Home	room_undertale_end	
\E4The power of&friendship.../			Flowey	New Home	room_undertale_end	
That always saves&the day^1, right?/%%			Flowey	New Home	room_undertale_end	
\E0So^1, killing people&is ACTUALLY fine...?/			Flowey	New Home	room_undertale_end	
\E4Sure./			Flowey	New Home	room_undertale_end	
I'm glad we agree on&the value of a life./			Flowey	New Home	room_undertale_end	
I've learned SO&MUCH from you./			Flowey	New Home	room_undertale_end	
\E0Though..^1. are you&REALLY gonna keep&doing things halfway?/			Flowey	New Home	room_undertale_end	
\E8The amount of people&you killed.../			Flowey	New Home	room_undertale_end	
\E9It's honestly&DISAPPOINTING./			Flowey	New Home	room_undertale_end	
\E8You IDIOT./			Flowey	New Home	room_undertale_end	
\E4You really can't do&ANYTHING right./%%			Flowey	New Home	room_undertale_end	
Why^1, 			Flowey	New Home	room_undertale_end	
...?/			Flowey	New Home	room_undertale_end	
\E3Why?/			Flowey	New Home	room_undertale_end	
\E1WHY?/			Flowey	New Home	room_undertale_end	
\E8We were on our way&to REAL victory.../			Flowey	New Home	room_undertale_end	
\E9On our way to making&up for LAST time!/			Flowey	New Home	room_undertale_end	
\E2Why'd you have to&SCREW IT UP?/			Flowey	New Home	room_undertale_end	
\E5Hahaha.../			Flowey	New Home	room_undertale_end	
\E9Is this REVENGE?/			Flowey	New Home	room_undertale_end	
\E1Making me watch you&act so pure and&happy^1, while I...?/			Flowey	New Home	room_undertale_end	
\E1Making me watch you&live out your life^1,&while I...?/			Flowey	New Home	room_undertale_end	
\E1.../			Flowey	New Home	room_undertale_end	
\E7No./			Flowey	New Home	room_undertale_end	
\E8NO./			Flowey	New Home	room_undertale_end	
I KNOW what you're&doing./			Flowey	New Home	room_undertale_end	
You just want to see&what it's all like./			Flowey	New Home	room_undertale_end	
Before we TEAR IT&AWAY from them./			Flowey	New Home	room_undertale_end	
Ahahaha.../			Flowey	New Home	room_undertale_end	
\E9Genius^1, 			Flowey	New Home	room_undertale_end	
\E4Well^1, I'll let you&mess around./			Flowey	New Home	room_undertale_end	
\E8I know you'll come&back eventually./			Flowey	New Home	room_undertale_end	
\E9And when that time&comes.../			Flowey	New Home	room_undertale_end	
\E4			Flowey	New Home	room_undertale_end	
\E4I'll be waiting&for you./%%			Flowey	New Home	room_undertale_end	
Why do you keep&coming back here?/			Flowey	New Home	room_undertale_end	
\E5Oh^1, I get it^1.&You wanna be friends^1,&huh...?/			Flowey	New Home	room_undertale_end	
\E8You're PATHETIC./			Flowey	New Home	room_undertale_end	
\E8You REALLY think I&want to be friends&with YOU?/			Flowey	New Home	room_undertale_end	
\E5Heh.../			Flowey	New Home	room_undertale_end	
\E9You really DON'T&get it^1, do you?/			Flowey	New Home	room_undertale_end	
\E5There's only one&person I could care&about anymore./			Flowey	New Home	room_undertale_end	
\E6And even then^1, I&couldn't TRULY care&about them./			Flowey	New Home	room_undertale_end	
\E5I just like to think&there's someone out&there.../			Flowey	New Home	room_undertale_end	
Someone that I&won't get tired of./			Flowey	New Home	room_undertale_end	
\E8Someone like ME./			Flowey	New Home	room_undertale_end	
\E4Quit looking at me&with that stupid&expression./			Flowey	New Home	room_undertale_end	
You're pissing me&off./%%			Flowey	New Home	room_undertale_end	
\E0So you're here&again./			Flowey	New Home	room_undertale_end	
\E2What's wrong with&you?/			Flowey	New Home	room_undertale_end	
\E4Are you trying to&start the Flowey&Fan Club?/			Flowey	New Home	room_undertale_end	
\E5Because if you&want to join THAT.../			Flowey	New Home	room_undertale_end	
\E4You'll have to&talk to Papyrus./			Flowey	New Home	room_undertale_end	
\E6Yeah^1, he started&one./			Flowey	New Home	room_undertale_end	
\E5A few different&times^1, anyway./			Flowey	New Home	room_undertale_end	
\E0I won't lie./			Flowey	New Home	room_undertale_end	
\E4He's one of the&better characters&to mess around with./			Flowey	New Home	room_undertale_end	
\E5Took me a long&time to get bored&of that one./			Flowey	New Home	room_undertale_end	
\E7... Yeah./			Flowey	New Home	room_undertale_end	
\E4Talk to him&about it./%%			Flowey	New Home	room_undertale_end	
\E0So./			Flowey	New Home	room_undertale_end	
\E4Did you start the&Flowey Fan Club?/			Flowey	New Home	room_undertale_end	
\E5Ha^1.&I'm just kidding./			Flowey	New Home	room_undertale_end	
\E9I was watching^1.&I know you didn't./			Flowey	New Home	room_undertale_end	
\E5But I don't care^1.&Really./			Flowey	New Home	room_undertale_end	
\E6He probably would&have invited his&garbage brother./			Flowey	New Home	room_undertale_end	
\E4You know^1.&Smiley Trashbag./			Flowey	New Home	room_undertale_end	
\E4Say./			Flowey	New Home	room_undertale_end	
If I have ONE piece&of advice for you.../			Flowey	New Home	room_undertale_end	
\E9DON'T./			Flowey	New Home	room_undertale_end	
Let his brother./			Flowey	New Home	room_undertale_end	
Find out ANYTHING&about you./			Flowey	New Home	room_undertale_end	
\E6He'll..^1. well.../			Flowey	New Home	room_undertale_end	
\E5Let's just say./			Flowey	New Home	room_undertale_end	
\E9He's caused me more&than my fair share&of resets./			Flowey	New Home	room_undertale_end	
\E4Stay away from&that guy./%%			Flowey	New Home	room_undertale_end	
\E0Why do you keep&coming back here?/			Flowey	New Home	room_undertale_end	
You don't REALLY&want to be friends^1,&do you...?/			Flowey	New Home	room_undertale_end	
\E4No^1. I get it./			Flowey	New Home	room_undertale_end	
You're just like me^1,&aren't you?/			Flowey	New Home	room_undertale_end	
You don't care about&anyone./			Flowey	New Home	room_undertale_end	
\E4You're just bored./			Flowey	New Home	room_undertale_end	
You just want to&see what I'll say./			Flowey	New Home	room_undertale_end	
\E5So you can laugh&and throw me away&like a broken toy./			Flowey	New Home	room_undertale_end	
\E8Well^1, TOO BAD!/			Flowey	New Home	room_undertale_end	
\E9I'm not LIKE everybody&else./			Flowey	New Home	room_undertale_end	
\E9So, from now on.../			Flowey	New Home	room_undertale_end	
\E4You're not getting&ANYTHING./%%			Flowey	New Home	room_undertale_end	
\E4Don't you have&anything BETTER to do?/%%			Flowey	New Home	room_undertale_end	
Hi./%%			Flowey	New Home	room_flowey_regret	
Seems as if everyone&is perfectly happy./			Flowey	New Home	room_flowey_regret	
Monsters have returned&to the surface./			Flowey	New Home	room_flowey_regret	
Peace and prosperity&will rule across the land./			Flowey	New Home	room_flowey_regret	
\E6Take a deep breath./			Flowey	New Home	room_flowey_regret	
\E5There's nothing left&to worry about./%%			Flowey	New Home	room_flowey_regret	
\E7.../			Flowey	New Home	room_flowey_regret	
\E6Well./			Flowey	New Home	room_flowey_regret	
\E1There is one thing./			Flowey	New Home	room_flowey_regret	
\E3One last threat./			Flowey	New Home	room_flowey_regret	
One being with the&power to erase&EVERYTHING.../			Flowey	New Home	room_flowey_regret	
\E1Everything everyone's&worked so hard for./			Flowey	New Home	room_flowey_regret	
\E6You know who I'm&talking about^1, don't&you?/			Flowey	New Home	room_flowey_regret	
\E1That's right./			Flowey	New Home	room_flowey_regret	
\E4I'm talking about YOU./			Flowey	New Home	room_flowey_regret	
\E7YOU still have the&power to reset&everything./			Flowey	New Home	room_flowey_regret	
\E0Toriel^1, Sans^1, Asgore^1,&Alphys, Papyrus, Undyne.../			Flowey	New Home	room_flowey_regret	
If you so choose.../			Flowey	New Home	room_flowey_regret	
Everyone will be&ripped from this&timeline.../			Flowey	New Home	room_flowey_regret	
... and sent back before&all of this&ever happened./			Flowey	New Home	room_flowey_regret	
\E6Nobody will&remember anything./			Flowey	New Home	room_flowey_regret	
\E5You'll be able to&do whatever you&want./			Flowey	New Home	room_flowey_regret	
\E7That power./			Flowey	New Home	room_flowey_regret	
\E3I know that power./			Flowey	New Home	room_flowey_regret	
\E6That's the power&you were fighting to&stop^1, wasn't it?/			Flowey	New Home	room_flowey_regret	
\E7The power that I&wanted to use./			Flowey	New Home	room_flowey_regret	
\E6But now^1, the idea&of resetting&everything.../			Flowey	New Home	room_flowey_regret	
\E7I.../			Flowey	New Home	room_flowey_regret	
\E1I don't think I&could do it all&again./			Flowey	New Home	room_flowey_regret	
Not after that./			Flowey	New Home	room_flowey_regret	
\E1So, please./			Flowey	New Home	room_flowey_regret	
\E3Just let them go./			Flowey	New Home	room_flowey_regret	
Let Frisk be happy./			Flowey	New Home	room_flowey_regret	
Let Frisk live&their life./%%			Flowey	New Home	room_flowey_regret	
\E3But./			Flowey	New Home	room_flowey_regret	
If I can't change&your mind./			Flowey	New Home	room_flowey_regret	
If you DO end up&erasing everything.../			Flowey	New Home	room_flowey_regret	
\E6You have to erase&my memories^1, too./			Flowey	New Home	room_flowey_regret	
\E6I'm sorry./			Flowey	New Home	room_flowey_regret	
\E5You've probably heard&this a hundred times&already^1, haven't you...?/			Flowey	New Home	room_flowey_regret	
\E0Well^1, that's all./			Flowey	New Home	room_flowey_regret	
\E6See you later.../			Flowey	New Home	room_flowey_regret	
./%%			Flowey	New Home	room_flowey_regret	
true_end						
number						
phonecalls						
E						
FFFFF						
won						
Logo Design#Cutscene Artist#Overworld Artist+#Animator (Area 1,2,3)#Shop Artist (Area 2,3)#Tile Artist (Area 2)			Menu	New Home	room_undertale_end	
Temmie Chang			Menu	New Home	room_undertale_end	
Tile Artist (Area3+4)#And Hypertester			Menu	New Home	room_undertale_end	
Kenju			Menu	New Home	room_undertale_end	
Main BG Artist			Menu	New Home	room_undertale_end	
Merrigo			Menu	New Home	room_undertale_end	
Assistant Monster Designer			Menu	New Home	room_undertale_end	
Magnolia Porter			Menu	New Home	room_undertale_end	
Extra Art and Testing			Menu	New Home	room_undertale_end	
Gigi DG#Drak#Clairevoire			Menu	New Home	room_undertale_end	
Misc. Art			Menu	New Home	room_undertale_end	
Easynam (Tile Area 1)#Guzusuru (Asgore Spear Reveal)			Menu	New Home	room_undertale_end	
Guest Monster Designs			Menu	New Home	room_undertale_end	
"Muffet - Michelle Czajkowski#""Woshua"" - Inspired by OMOCAT"			Menu	New Home	room_undertale_end	
Photoshop#Flowey Battle Co-design			Menu	New Home	room_undertale_end	
Everdraed			Menu	New Home	room_undertale_end	
Programming Help			Menu	New Home	room_undertale_end	
Flashygoodness#Leon Arnott			Menu	New Home	room_undertale_end	
Other Monster Designs			Menu	New Home	room_undertale_end	
Mike Reid#????????????			Menu	New Home	room_undertale_end	
Guest NPC Concepts			Menu	New Home	room_undertale_end	
"Mushroom ""Ragel"" - Alexander Sward#""Sam Byool"" - Ahmed Almutawa#Bah! ""Puzzle Guy"" - Summer Wine#Stars..? ""Loren"" - Colin MacDougall#Comedian Dad - Braxton Harris"			Menu	New Home	room_undertale_end	
Guitar			Menu	New Home	room_undertale_end	
Stephanie MacIntire			Menu	New Home	room_undertale_end	
Bratty & Catty Help			Menu	New Home	room_undertale_end	
IPGD			Menu	New Home	room_undertale_end	
scr_scinit						
keyboard_set_map						
messed						
Floweytale			Menu	New Home	room_f_menu	
window_set_caption						
str_r						
ir						
k						
str_piece						
z						
v						
p						
o						
UNDERTALE			Menu			
UNDERTALE the Musical			Menu	Hotland	room_fire_operatest	
quit						
battle						
mode						
mychoicex						
mychoicey						
distance_to_point						
spdr						
heartdraw						
clap						
depp						
claptimer						
tb						
room_persistent						
myroom						
action_create_object						
unpersist						
scr_battlegroup						
mercyuse						
itemused						
heard						
tmsg						
tempat						
tempdf						
tempspd						
healed						
drawrect						
drawbinfo						
rearrange						
currentplace						
* YOU WON!&* You earned 			Narrator		room_battle	
 XP and 			Narrator		room_battle	
 gold.			Narrator		room_battle	
&* Your LOVE increased.			Narrator		room_battle	
rmsg						
SCR_TEXT						
mntrg						
itempos						
thisitemid						
snd_isplaying						
xwrite						
ywrite						
room_speed						
nowcoord						
mv						
tempcheck						
myvapor						
myread						
finishedreading						
line						
dn						
ht_a						
ht_b						
ht_c						
mychar						
}						
~						
string_char_at						
ord						
blk						
finished						
action_set_alarm						
draw_getpixel						
scr_getvapordata						
1						
linefriended						
data/monster/						
fileplace						
snd_stop						
rightside						
topside						
shudder						
sprite_get_name						
2						
ideallength						
length						
maxlength						
stringo						
DATE POWER			Dating HUD	Snowdin	room_papdate	
FRIENDSHIP			Friendship HUD	Snowdin	room_papdate	
die						
draw_rectangle_color						
REEL IT IN!			Dating / Friendship HUD	Snowdin	room_papdate	
current_hour						
currenthour						
current_weekday						
weekday						
SUN			Dating / Friendship HUD	Snowdin	room_papdate	
day						
MON			Dating / Friendship HUD	Snowdin	room_papdate	
TUE			Dating / Friendship HUD	Snowdin	room_papdate	
WED			Dating / Friendship HUD	Snowdin	room_papdate	
THU			Dating / Friendship HUD	Snowdin	room_papdate	
FRI			Dating / Friendship HUD	Snowdin	room_papdate	
SAT			Dating / Friendship HUD	Snowdin	room_papdate	
CRIME			Dating / Friendship HUD	Snowdin	room_papdate	
radardogalpha						
radardogx						
radardogy						
draw_line_width						
point						
off						
tough						
POPULATION			Dating / Friendship HUD	Snowdin	room_papdate	
TENSION			Dating / Friendship HUD	Snowdin	room_papdate	
